region,pop_code,Fam,Ind,ind_code,index,1C,CV_Solanum,CV_Sample,batch
VT,FC,FC11,FC11-2B,FC112B,1.419,1.84,4.31,3.25,4
VT,FC,FC13,FC13-3,FC133A,1.476,1.91,2.78,2.3,1
VT,FC,FC13,FC13-2B,FC132B,1.457,1.89,3.45,2.81,4
VT,FC,FC13,FC13-1B,FC131B,1.45,1.88,3.4,2.35,4
VT,FC,FC18,FC18-3,FC183A,1.49,1.93,2.88,3.09,1
VT,FC,FC18,FC18-3B,FC183B,1.465,1.90,3.18,2.94,3
VT,FC,FC19,FC19-2C,FC192C,1.457,1.89,4.08,3.09,3
VT,FC,FC19,FC19-1C,FC191C,1.452,1.88,2.38,2.27,3
VT,FC,FC19,FC19-1B,FC191B,1.448,1.88,3.36,2.83,4
VT,FC,FC2,FC2-2,FC22B,1.534440785,1.99,3.35,3.05,2
VT,FC,FC2,FC2-1,FC21B,1.453,1.88,3.34,2.42,2
VT,FC,FC2,FC2-2C,FC22C,1.457,1.89,3.32,2.51,4
VT,FC,FC2,FC2-2B,FC22B,1.492,1.93,3.52,2.7,4
VT,FC,FC21,FC21-2,FC212B,1.467,1.90,2.56,2.3,2
VT,FC,FC21,FC21-1B,FC211B,1.431,1.85,3.68,2.88,4
VT,FC,FC23,FC23-2C,FC232C,1.481,1.92,3.36,2.81,3
VT,FC,FC23,FC23-1C,FC231C,1.456,1.89,3.08,2.74,3
VT,FC,FC23,FC23-2C,FC232C,1.469,1.90,3.98,3.27,4
VT,FC,FC23,FC23-1C,FC231C,1.468,1.90,3.58,3.11,4
VT,FC,FC24,FC24-1,FC241A,1.464,1.90,2.98,2.55,1
VT,FC,FC24,FC24-1C,FC241C,1.472,1.91,3.43,3.41,3
VT,FC,FC24,FC24-2B,FC242B,1.458,1.89,3,2.16,4
VT,FC,FC25,FC25-3,FC253A,1.483,1.92,2.81,2.42,1
VT,FC,FC25,FC25-1,FC251A,1.449,1.88,2.84,2.19,1
VT,FC,FC25,FC25-2,FC252B,1.45,1.88,2.94,2.53,2
VT,FC,FC5,FC5-2C,FC52C,1.473,1.91,3.19,3.16,3
VT,FC,FC5,FC5-2B,FC52B,1.476,1.91,3.87,3.24,4
VT,FC,FC8,FC8-2,FC82A,1.461,1.89,2.74,2.52,1
VT,FC,FC8,FC8-1,FC81B,1.448,1.88,3.4,2.52,2
NY,FL,FL1,FL1-2,FL12A,1.465,1.90,2.89,2.62,1
NY,FL,FL1,FL1-2C,FL12C,1.519,1.97,3.16,3.63,3
NY,FL,FL1,FL1-1B,FL11B,1.466,1.90,2.93,2.33,4
NY,FL,FL10,FL10-1,FL101B,1.477,1.91,2.65,2.53,2
NY,FL,FL10,FL10-2C,FL102C,1.462,1.89,3.12,2.42,4
NY,FL,FL10,FL10-2B,FL102B,1.459,1.89,3.03,2.61,4
NY,FL,FL2,FL2-3,FL23A,1.477,1.91,2.74,2.35,1
NY,FL,FL2,FL2-2,FL22B,1.49,1.93,3.35,4.67,2
NY,FL,FL2,FL2-1,FL21B,1.451,1.88,2.92,2.68,2
NY,FL,FL3,FL3-3,FL33A,1.456,1.89,2.91,2.23,1
NY,FL,FL3,FL3-2,FL32A,1.472,1.91,2.86,2.54,1
NY,FL,FL3,FL3-2,FL32B,1.458,1.89,2.62,2.41,2
NY,FL,FL4,FL4-2,FL42B,1.464,1.90,2.68,2.33,2
NY,FL,FL4,FL4-1,FL41B,1.456,1.89,3.74,3.6,2
NY,FL,FL4,FL4-2C,FL42C,1.478,1.91,2.98,2.39,3
NY,FL,FL5,FL5-3,FL53A,1.478,1.91,3.21,3.23,1
NY,FL,FL5,FL5-2,FL52B,1.483,1.92,3.17,2.91,2
NY,FL,FL5,FL5-1C,FL51C,1.444,1.87,2.64,2.22,3
NY,FL,FL5,FL5-3B,FL53B,1.463,1.89,2.9,3.58,4
NY,FL,FL6,FL6-1,FL61B,1.451,1.88,2.73,2.32,2
NY,FL,FL6,FL6-2C,FL62C,1.474,1.91,3.02,2.48,4
NY,FL,FL6,FL6-2B,FL62B,1.457,1.89,3.01,2.71,4
NY,FL,FL7,FL7-2C,FL72C,1.474,1.91,3.15,2.35,3
NY,FL,FL7,FL7-2B,FL72B,1.448,1.88,2.99,2.85,3
NY,FL,FL7,FL7-1C,FL71C,1.453,1.88,3.67,2.72,3
NY,FL,FL7,FL7-1B,FL71B,1.454,1.88,3.71,2.9,4
NY,FL,FL8,FL8-1,FL81B,1.48,1.92,2.8,2.53,2
NY,FL,FL8,FL8-2B,FL82B,1.467,1.90,3.68,2.98,4
NY,FL,FL9,FL9-3,FL93A,1.466,1.90,3.38,2.67,1
NY,FL,FL9,FL9-2C,FL92C,1.438,1.86,3.05,2.47,4
NY,FL,FL9,FL9-2B,FL92B,1.452,1.88,3.5,2.1,4
NY,FP,FP1,FP1-2,FP12A,1.484,1.92,2.88,2.41,1
NY,FP,FP1,FP1-4,FP14B,1.469,1.90,2.65,2.3,2
NY,FP,FP1,FP1-2,FP12B,1.467,1.90,2.71,2.44,2
NY,FP,FP1,FP1-1,FP11B,1.461,1.89,3.37,2.81,2
