id,cross,ht,wt,stemwid,NCap,NFl,dff,sla,damHt,damWt,damSW,damNCap,damNFl,damdff,damsla,sireHt,sireWt,sireSW,sireNCap,sireNFl,siredff,siresla,diffK1mean,diffK1sqmean
30,RM-54-2_x_MP-7-1,-11.64480607,0.164786549,-0.304585685,-4.155865133,3.024696481,-4.990656081,8.29E-15,-10.45749949,-1.020175391,-0.060309708,-4.320330863,0.028495815,0.199276655,0.025059495,9.549065295,2.796236669,0.396877605,2.539433542,-1.887215143,-0.392505861,0.092438838,0.5971,0.35652841
31,SH-17-2_x_MC-1-1,-1.216148349,-0.369175515,-0.027001659,2.953048479,0.145091677,1.624628116,-2.63E-15,-5.78045929,1.514956354,-0.464494926,-1.746743502,0.801846371,0.255723006,-0.157769218,1.722449785,-1.381730218,-0.180611544,1.190906677,-0.768136498,2.500295721,0.194792423,0.236443,0.055905292
32,SH-17-2_x_RM-8-2,-9.966293931,-0.365515947,-0.004568268,-8.085698677,11.63652633,-9.699840279,-2.02E-14,-5.78045929,1.514956354,-0.464494926,-1.746743502,0.801846371,0.255723006,-0.157769218,-3.43654119,0.436087106,-0.080319027,3.890274504,5.044434252,-0.092829117,0.106818462,0.01082,0.000117072
33,SP-16-2_x_WV-8-2,6.449866805,-0.805893027,0.084781503,-7.216360027,2.037505916,NA,2.69E-14,-12.29856423,-1.994364785,0.410924147,-5.447246174,-1.071477542,-1.253675584,-0.136807063,5.497818562,-0.615789481,-0.109766283,0.527720767,-1.729534512,-0.679992231,0.042014553,NA,NA
34,SP-20-2_x_CO-2-1,2.573031723,0.292045921,0.078169233,4.296582318,-2.203714587,0.661288495,1.72E-14,-11.08592241,-0.718879702,0.075373194,-1.670770826,1.983319613,1.630983899,-0.236632426,4.424795607,1.061423188,-0.020518737,2.399391436,0.337684695,1.82469267,0.169109437,0.157266,0.024732595
35,SP-4B-2_x_RM-8-2,-6.990000218,-0.662871153,-0.21456406,-3.798224383,7.860765686,-6.729168853,1.06E-14,-7.664040826,-2.579303453,-0.332181941,-3.035566905,-0.379216489,2.643766257,0.059340176,-3.43654119,0.436087106,-0.080319027,3.890274504,5.044434252,-0.092829117,0.106818462,0.599706,0.359647286
36,WR-21B-1_x_CO-11-1,2.744386646,1.589398417,0.382913483,6.139510215,-0.605365893,0.297732069,-5.60E-15,-2.575619225,0.034758671,0.09902091,1.342379806,6.63805615,NA,-0.199686771,5.246505291,-1.560704136,-0.152449892,-4.463401017,-2.504741714,4.356810748,0.449395455,0.462953,0.21432548
37,WR-21B_x_MP-2-2,0.783637612,0.619691415,0.027217888,-2.603116985,-3.59071494,6.441400931,2.37E-15,-2.575619225,0.034758671,0.09902091,1.342379806,6.63805615,NA,-0.199686771,4.517341232,1.159196759,-0.223061472,3.298162811,1.88356766,-2.007042875,0.148568246,0.148184,0.021958498
38,WR-4-2_x_MP-12-1,1.108467826,NA,0.112097291,1.257825913,-0.101206278,NA,NA,-8.713914962,-0.023241293,0.44166899,5.556604924,3.252629952,0.059942817,-0.00483062,8.151311708,0.285439261,0.143686198,2.361179193,0.050802864,-2.056523532,0.106794346,0.297309,0.088392641
39,WR-Y-2_x_MP-12-1,4.864323784,1.29784298,-0.125943682,-0.071279181,0.334620163,-3.010903924,-9.37E-15,4.472361764,-2.455165031,-0.142309569,-1.894014241,-0.473373837,0.465662985,-0.118361238,8.151311708,0.285439261,0.143686198,2.361179193,0.050802864,-2.056523532,0.106794346,0.274438,0.075316216
40,WV-3-2_x_CO-11-1,3.54551052,0.524875333,0.1337246,6.307597235,-7.818735407,8.077190956,7.92E-15,-12.63857908,-2.094947287,-0.221857872,-6.1379251,-2.123494409,7.023182735,-0.123209127,5.246505291,-1.560704136,-0.152449892,-4.463401017,-2.504741714,4.356810748,0.449395455,0.4835024,0.233774571
41,WV-3-2_x_FL-9-2,1.22137593,1.568473934,0.328941675,5.760153852,-5.347001573,4.894388805,3.72E-15,-12.63857908,-2.094947287,-0.221857872,-6.1379251,-2.123494409,7.023182735,-0.123209127,-3.114276281,-0.816877929,-0.108488231,2.52278311,0.752034258,-0.600574322,0.184117187,0.6332954,0.401063064
42,WV-8-2_x_JF-25-1,0.906300929,-2.365688249,-0.145471427,-3.058326557,-4.443254398,2.109572852,-1.67E-14,5.497818562,-0.615789481,-0.109766283,0.527720767,-1.729534512,-0.679992231,0.042014553,7.445375553,0.949107837,0.063169391,-1.114780621,-1.628812742,1.081497111,-0.09423408,NA,NA
