ind_code,region,pop_code,fam,fam2,index,X1C,CV_Solanum,CV_Sample,batch,ht,stemwid,numcap,numfls,dff,bench,BIOMASS,SLA
CH15-1B,VT,CH,CH15,CH.15,NA,NA,NA,NA,NA,93.1,5.28,18,4,51,B,17.5,3.479918016
CH15-1C,VT,CH,CH15,CH.15,1.44,1.86,3.44,3.26,3,68.5,4.45,11,2,61,C,12,3.692974221
CH15-2B,VT,CH,CH15,CH.15,1.475,1.91,3.22,2.41,2,56.4,4.9,20,7,51,B,13.3,3.619114737
CH15-2C,VT,CH,CH15,CH.15,1.477,1.91,2.26,2.12,1,54.5,6.55,34,16,43,C,19.2,2.513274123
CH15-3A,VT,CH,CH15,CH.15,NA,NA,NA,NA,NA,80.5,5.91,11,1,60,A,8.1,3.351032164
CH17-1B,VT,CH,CH17,CH.17,1.468,1.9,2.72,4.12,2,57.2,4.5,1,0,NA,B,4.6,4.112630383
CH17-1C,VT,CH,CH17,CH.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,7.1,NA
CH17-2A,VT,CH,CH17,CH.17,NA,NA,NA,NA,NA,48.2,4.8,18,5,53,A,13,2.261946711
CH17-2B,VT,CH,CH17,CH.17,1.459,1.89,2.71,2.46,2,83.5,4.99,11,1,58,B,11,3.769911184
CH17-2C,VT,CH,CH17,CH.17,1.455,1.88,3.47,3.09,3,61,6.24,12,7,49,C,11.8,3.231352444
CH17-3A,VT,CH,CH17,CH.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,3,3.479918016
CH2-1B,VT,CH,CH2,CH.2,NA,NA,NA,NA,NA,61.5,7.07,28,13,49,B,19.2,3.015928947
CH2-1C,VT,CH,CH2,CH.2,1.438,1.86,2.58,2.22,3,75.1,5.99,25,7,49,C,19.1,2.700831893
CH2-2A,VT,CH,CH2,CH.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,7.5,1.774075851
CH2-2B,VT,CH,CH2,CH.2,1.441,1.87,3.18,2.76,4,86.3,5.74,15,1,58,B,10.8,3.414259186
CH2-2C,VT,CH,CH2,CH.2,1.458,1.89,3.63,2.83,3,NA,NA,NA,NA,NA,C,7.2,2.783934413
CH2-3A,VT,CH,CH2,CH.2,1.46,1.89,3.07,3.78,1,NA,NA,NA,NA,NA,A,5.2,3.351032164
CH5-1A,VT,CH,CH5,CH.5,1.441,1.87,4.07,3.29,1,NA,NA,NA,NA,NA,A,8.2,4.639890688
CH5-1B,VT,CH,CH5,CH.5,1.449,1.88,3.5,2.65,4,83.2,5.62,10,3,62,B,17.4,3.479918016
CH5-1C,VT,CH,CH5,CH.5,1.463,1.89,3.29,2.43,4,50.7,4.3,13,5,44,C,12.9,2.206777279
CH5-2C,VT,CH,CH5,CH.5,NA,NA,NA,NA,NA,46,3.87,2,0,NA,C,3.5,4.523893421
CH5-3B,VT,CH,CH5,CH.5,NA,NA,NA,NA,NA,69.1,4.73,8,7,NA,B,9.2,2.513274123
CH5-3C,VT,CH,CH5,CH.5,1.459,1.89,3.38,2.59,4,NA,NA,NA,NA,NA,C,11.5,2.47884571
CH6-1A,VT,CH,CH6,CH.6,NA,NA,NA,NA,NA,89.4,5.29,17,1,57,A,11.5,3.850122061
CH6-1B,VT,CH,CH6,CH.6,1.476,1.91,2.96,2.42,3,64,5.18,19,11,46,B,11.6,2.814867018
CH6-1C,VT,CH,CH6,CH.6,NA,NA,NA,NA,NA,73.6,5.63,17,3,51,C,11.2,4.112630383
CH6-2B,VT,CH,CH6,CH.6,NA,NA,NA,NA,NA,98.5,5.06,17,12,46,B,12.6,2.783934413
CH6-2C,VT,CH,CH6,CH.6,1.46,1.89,3.19,2.41,3,58.3,4.51,27,12,47,C,10.5,4.413554557
CH6-3B,VT,CH,CH6,CH.6,1.448,1.88,2.99,2.24,4,63.8,4.6,20,10,42,B,12,2.966487489
CH7-1A,VT,CH,CH7,CH.7,NA,NA,NA,NA,NA,85.4,3.3,15,0,49,A,11.5,4.021238597
CH7-1B,VT,CH,CH7,CH.7,1.463,1.89,2.69,2.32,3,51.4,3.86,10,8,42,B,6.7,3.414259186
CH7-2B,VT,CH,CH7,CH.7,1.473,1.91,2.8,2.7,3,64.8,5.12,9,5,50,B,11,3.119926497
CH7-2C,VT,CH,CH7,CH.7,1.461,1.89,2.92,2.79,2,48.1,3.09,1,0,NA,C,1.9,2.445347795
CH7-3C,VT,CH,CH7,CH.7,NA,NA,NA,NA,NA,56.9,7.27,13,3,51,C,9.6,3.548151703
CH7-4C,VT,CH,CH7,CH.7,NA,NA,NA,NA,NA,64.5,3.9,15,2,55,C,11.7,4.308469925
CH8B-1A,VT,CH,CH8B,CH.8B,NA,NA,NA,NA,NA,53.4,3.68,13,5,40,A,8.3,2.726263455
CH8B-1B,VT,CH,CH8B,CH.8B,1.467,1.9,3.15,2.77,2,70,5,28,13,45,B,17.9,2.622546911
CH8B-1C,VT,CH,CH8B,CH.8B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,6.5,4.761993075
CH8B-2B,VT,CH,CH8B,CH.8B,1.472,1.91,2.8,2.36,2,57.1,5.44,21,12,42,B,11.5,2.872313283
CH8B-2C,VT,CH,CH8B,CH.8B,1.463,1.89,2.87,2.01,3,63,3.8,31,14,47,C,15.9,2.290578947
CH8B-3C,VT,CH,CH8B,CH.8B,NA,NA,NA,NA,NA,53.9,3.85,24,8,NA,C,13.7,3.619114737
CO1-1A,NY,CO,CO1,CO.1,1.494,1.93,3.19,3.15,1,107.5,5.7,35,1,65,A,19.5,5.026548246
CO1-1B,NY,CO,CO1,CO.1,1.482,1.92,3.26,2.99,2,35.2,3.84,3,0,NA,B,3.2,5.026548246
CO1-1C,NY,CO,CO1,CO.1,NA,NA,NA,NA,NA,85.9,5,33,1,55,C,16,3.067046387
CO1-2A,NY,CO,CO1,CO.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,5.8,3.769911184
CO1-2B,NY,CO,CO1,CO.1,1.515,1.96,2.78,3.35,2,110.4,5.22,22,0,57,B,17.7,3.548151703
CO1-3A,NY,CO,CO1,CO.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,7.5,4.021238597
