tube ,Replicate,cross,Dam,damFam,Sire,sireFam,F1_FCM
122,4,SP_20_2_x_CO_2_1,SP_20_2,SP_20,CO_2_1,CO_2,1.918827739
123,3,SP_20_2_x_CO_2_1,SP_20_2,SP_20,CO_2_1,CO_2,1.91357725
124,1,SP_20_2_x_CO_2_1,SP_20_2,SP_20,CO_2_1,CO_2,1.917775354
125,6,JF_28_1_x_RM_54_2,JF_28_1,JF_28,RM_54_2,RM_54,1.904117217
126,2,JF_28_1_x_RM_54_2,JF_28_1,JF_28,RM_54_2,RM_54,1.886196109
127,1,JF_28_1_x_RM_54_2,JF_28_1,JF_28,RM_54_2,RM_54,1.888181855
128,5,RM_53_1B_x_CO_2_1,RM_53_1B,RM_53,CO_2_1,CO_2,1.963013188
129,4,RM_53_1B_x_CO_2_1,RM_53_1B,RM_53,CO_2_1,CO_2,1.915084175
130,6,RM_53_1B_x_CO_2_1,RM_53_1B,RM_53,CO_2_1,CO_2,1.890663039
131,1,JF_14_1_x_FC_21_1,JF_14_1,JF_14,FC_21_1,FC_21,1.831099549
132,1B,JF_14_1_x_FC_21_1,JF_14_1,JF_14,FC_21_1,FC_21,1.883381823
133,4,JF_14_1_x_FC_21_1,JF_14_1,JF_14,FC_21_1,FC_21,1.851610245
134,2,CO_9_1_x_HV_18_1,CO_9_1,CO_9,HV_18_1,HV_18,1.868227748
135,2,FC_21_1_x_WV_3_2,FC_21_1,FC_21,WV_3_2,WV_3,1.880561095
136,2,CO_11_1_x_SP_20_2,CO_11_1,CO_11,SP_20_2,SP_20,1.933058533
137,3,CO_11_1_x_SP_20_2,CO_11_1,CO_11,SP_20_2,SP_20,1.959722117
