"","cross","diffK1mean","diffK1sqmean","ht","wt","stemwid","dff","sla","totFl"
"30","RM-54-2_x_MP-7-1",0.5971,0.35652841,-11.6294061988453,0.0876984259453214,-0.427199598266457,0.00145514189020977,-0.0179228745112994,-1.34171673296097
"31","SH-17-2_x_MC-1-1",0.236443,0.055905292249,-1.41290615306847,-0.338597877032228,-0.0488539115335708,-1.72455970243708e-05,-0.00501139518614751,2.83845609680116
"32","SH-17-2_x_RM-8-2",0.01082,0.0001170724,-9.95174202081429,-0.118220836396402,-0.0247290033432588,0.00350034718786542,0.0441907825913035,2.54275866564988
"33","SP-16-2_x_WV-8-2",NA,NA,6.18106513719892,-0.284127168337192,0.10438823669762,NA,-0.0273457787008149,-3.92865297229044
"34","SP-20-2_x_CO-2-1",0.157266,0.024732594756,3.20429413153059,0.214381798786688,0.0531025072838487,-0.000625674118563732,-0.0279115916166265,1.7933084984262
"35","SP-4B-2_x_RM-8-2",0.599706,0.359647286436,-6.48174885167425,-0.788980087197137,-0.297844554746403,0.00213068666522933,-0.0181680619726,3.103890931746
"36","WR-21B_x_MP-2-2",0.462953,0.214325480209,1.32270055043624,0.716467530156183,0.0148868128841215,-0.00155097528039167,-0.0032445956642883,-6.04989150891432
"37","WR-21B-1_x_CO-11-1",0.148184,0.021958497856,3.33018584367757,1.35151846935815,0.394894366842555,-0.000157457533962152,0.0106208753360474,4.79181219749507
"38","WR-4-2_x_MP-12-1",0.297309,0.088392641481,1.14564703738746,NA,0.145234769708569,NA,NA,0.747381403272676
"39","WR-Y-2_x_MP-12-1",0.274438,0.075316215844,5.58732638950957,1.17129995949773,-0.197570731067249,0.000758159895816241,0.0139474967379602,-0.0212812996958477
"40","WV-3-2_x_CO-11-1",0.4835024,0.23377457080576,3.925319197056,0.67489367212548,0.137613358352968,-0.00182780813071047,-0.0163273791302821,0.954562943586427
"41","WV-3-2_x_FL-9-2",0.6332954,0.40106306366116,1.75118382109699,1.53073304419001,0.361772008687384,-0.00142825785293577,0.00673035415247713,1.04178676468561
"42","WV-8-2_x_JF-25-1",NA,NA,1.12949303299175,-2.28507926176291,-0.213580657308343,-0.00076476050188452,0.0260684816981105,-6.89152448100231
