pop	Ind	AnK2_K1	AnK2_K2	AnK3_K3	GenSize	PC1	PC2	PC3	PC4	HybClass_LDjacea	HybClass_LDnigra
FL	FL.1	0.319502	0.680498	0.99998	1.923333333	0.086863542	4.23331358	1.722215771	-0.807274289	BC2_jacea	F2
FL	FL.12	0.309057	0.690943	0.753744	NA	0.503468498	1.895078616	1.27960714	-0.347116983	BC2_jacea	F2
FL	FL.13	0.400501	0.599499	0.808613	NA	0.307004305	1.144946042	0.710118453	-1.124714449	BC2_jacea	F2
FL	FL.14	0.244704	0.755296	0.959015	NA	0.575111099	1.231707157	-0.123788373	-3.102780448	BC2_jacea	F2
FL	FL.15	0.260689	0.739311	0.99998	NA	-0.02136116	4.532226341	1.16807704	-0.508309264	jacea	F2
FL	FL.16	0.394324	0.605676	0.925201	NA	1.274523278	2.816248514	1.509672696	-2.481479073	BC2_jacea	F2
FL	FL.17	0.440578	0.559422	0.806562	NA	1.984453143	3.35301834	0.426279824	-1.158607365	F2	F2
FL	FL.19	0.316463	0.683537	0.99998	NA	-0.128076203	2.335969013	0.482377795	-1.587985998	jacea	F2
FL	FL.2	0.281551	0.718449	0.99998	1.906666667	0.205514321	1.982671861	0.08040357	-2.809457073	jacea	F2
FL	FL.20	0.339289	0.660711	0.99998	NA	0.036301603	3.922216762	1.273345111	-0.857313716	BC2_jacea	F2
FL	FL.4	0.281687	0.718313	0.802342	1.9	0.00300111	1.380097868	1.588918559	-4.75062726	BC2_jacea	F2
FL	FL.5	0.273587	0.726413	0.99998	1.9	-0.30070238	2.172962133	0.595677184	-2.297523426	jacea	F2
FL	FL.6	0.290447	0.709553	0.900497	1.893333333	0.655976699	2.201278923	0.662320415	-3.856055725	BC2_jacea	F2
FL	FL.8	0.308264	0.691736	0.925981	1.91	0.786805936	2.910143963	0.978349137	-4.72909926	BC2_jacea	F2
FL	FL.9	0.23906	0.76094	0.99998	1.89	-0.511011257	2.46938598	1.6558786	-4.651208223	jacea	F2
FP	FP.1	0.277827	0.722173	0.99998	1.9025	-0.72743493	4.113498708	0.628503646	0.515845935	jacea	F2
FP	FP.11	0.294889	0.705111	0.953954	NA	0.033717414	4.868541883	0.535663991	0.770241327	BC2_jacea	F2
